,Fault Code,Device #,Wire #,"Custom
Text",Fault Text,Extended Description,PLC Tag,HMI Display,HMI,,,"Fault Tested
Initials & Date"
,,,,,,,,,Trigger,Trigger Value,,
General ,F000,,,,"PLC Major Fault
All operations have stopped","The PLC has encountered a major error and halted all operations.
Any errors must be resolved prior to resetting the PLC. ",HMI_PLC_Major_Fault,"F000   PLC Major Fault
All operations have stopped",HMI_PLC_Major_Fault,1,,
"Calibration

Calibration Mechanics",,,,,,,,,,,,
,F001,H14-1,8337,,"Calibration Arm 1
Should Not Be Lowered.","Cylinder sensor is reporting that the cylinder is in a position that it should not be in. Check if product guides are lowered and are in place. Next, check that the cylinder has moved off/away from the sensor. If so, check the sensor for damage and replace as needed.",Calibration.Input.Off_Flt.0,"F001   Calibration Arm 1
Should Not Be Lowered.
Device H14-1     Wire # 8337",Calibration.Input.Off_Flt,1,,
,F002,H14-2,8347,,"Calibration Arm 1
Should Not Be Raised.","Cylinder sensor is reporting that the cylinder is in a position that it should not be in. Check that the cylinder has moved off/away from the sensor. If so, check the sensor for damage and replace as needed.",Calibration.Input.Off_Flt.1,"F002   Calibration Arm 1
Should Not Be Raised.
Device H14-2     Wire # 8347",Calibration.Input.Off_Flt,2,,
,F003,H14-5,8377,,"Calibration Arm 2
Should Not Be Lowered.","Cylinder sensor is reporting that the cylinder is in a position that it should not be in. Check if product guides are lowered and are in place. Next, check that the cylinder has moved off/away from the sensor. If so, check the sensor for damage and replace as needed.",Calibration.Input.Off_Flt.2,"F003   Calibration Arm 2
Should Not Be Lowered.
Device H14-5     Wire # 8377",Calibration.Input.Off_Flt,3,,
,F004,H14-6,8387,,"Calibration Arm 2
Should Not Be Raised.","Cylinder sensor is reporting that the cylinder is in a position that it should not be in. Check that the cylinder has moved off/away from the sensor. If so, check the sensor for damage and replace as needed.",Calibration.Input.Off_Flt.3,"F004   Calibration Arm 2
Should Not Be Raised.
Device H14-6     Wire # 8387",Calibration.Input.Off_Flt,4,,
,F005,,,,"Calibration Failed
Maximum Retries Reached","Control Computer indicated the calibration failed. The system attempted to retry the calibration upto a maximum amount of attempts. If the fault persists, contact PPO for assistance.",Calibration.Input.Off_Flt.4,"F005   Calibration Failed
Maximum Retries Reached",Calibration.Input.Off_Flt,5,,
,F006,,,,"Calibration Too Old
A New Calibration Is Required In Order To Scan Product",The last calibration is over 20 hrs old. Perform a new calibration in order to scan product.,Calibration.Input.Off_Flt.5,"F006   Calibration Too Old
A New Calibration Is Required In Order To Scan Product",Calibration.Input.Off_Flt,6,,
,F007,,,,"Spare Fault Message
PLC Tag: Calibration.Input.Off_Flt.6",,Calibration.Input.Off_Flt.6,"F007   Spare Fault Message
PLC Tag: Calibration.Input.Off_Flt.6",Calibration.Input.Off_Flt,7,,
,F008,,,,"Spare Fault Message
PLC Tag: Calibration.Input.Off_Flt.7",,Calibration.Input.Off_Flt.7,"F008   Spare Fault Message
PLC Tag: Calibration.Input.Off_Flt.7",Calibration.Input.Off_Flt,8,,
,F009,,,,"Spare Fault Message
PLC Tag: Calibration.Input.Off_Flt.8",,Calibration.Input.Off_Flt.8,"F009   Spare Fault Message
PLC Tag: Calibration.Input.Off_Flt.8",Calibration.Input.Off_Flt,9,,
,F010,,,,"Spare Fault Message
PLC Tag: Calibration.Input.Off_Flt.9",,Calibration.Input.Off_Flt.9,"F010   Spare Fault Message
PLC Tag: Calibration.Input.Off_Flt.9",Calibration.Input.Off_Flt,10,,
,F011,,,,"Spare Fault Message
PLC Tag: Calibration.Input.Off_Flt.10",,Calibration.Input.Off_Flt.10,"F011   Spare Fault Message
PLC Tag: Calibration.Input.Off_Flt.10",Calibration.Input.Off_Flt,11,,
,F012,,,,"Spare Fault Message
PLC Tag: Calibration.Input.Off_Flt.11",,Calibration.Input.Off_Flt.11,"F012   Spare Fault Message
PLC Tag: Calibration.Input.Off_Flt.11",Calibration.Input.Off_Flt,12,,
,F013,,,,"Spare Fault Message
PLC Tag: Calibration.Input.Off_Flt.12",,Calibration.Input.Off_Flt.12,"F013   Spare Fault Message
PLC Tag: Calibration.Input.Off_Flt.12",Calibration.Input.Off_Flt,13,,
